schema,pos rule,pos keywords,A pos legal advice,B pos legal advice,neg rule,neg keywords,neg legal advice,risk level,legal basis,risk statement,jiaoyan error advice,user show name,classify
补偿、帮助及损害赔偿,识别,一次性补偿|支付补偿费,,,未识别,,"补偿条款缺失或约定不明确，建议补充完整。
夫妻一方因抚育子女、照料老年人、协助另一方工作等负担较多义务的，另一方应当作出补偿，双方应当对补偿金额、给付方式、给付时间等作出明确的约定。对于金额的书写要注意大小写一致，且明确币种。",中,"【《中华人民共和国民法典》第一千零八十八条】夫妻一方因抚育子女、照料老年人、协助另一方工作等负担较多义务的，离婚时有权向另一方请求补偿，另一方应当给予补偿。具体办法由双方协议；协议不成的，由人民法院判决。|【《中华人民共和国民法典》第一千零九十条】离婚时，如果一方生活困难，有负担能力的另一方应当给予适当帮助。具体办法由双方协议；协议不成的，由人民法院判决。|【《中华人民共和国民法典》第一千零九十一条】　有下列情形之一，导致离婚的，无过错方有权请求损害赔偿：（一）重婚；
（二）与他人同居；（三）实施家庭暴力；（四）虐待、遗弃家庭成员；（五）有其他重大过错。",补偿、帮助及损害赔偿是处理夫妻财产的重要内容，建议双方作出明确的约定，防止后续的纠纷。,,补偿帮助及损害赔偿条款审核,补偿条款审核
男方违约责任,违约金审核,违约|经济责任,,,未识别,,"男方违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定的违约金过高，建议核实或修改。,违约责任合理性审核,违约责任条款审核
女方违约责任,违约金审核,违约|经济责任,,,未识别,,"女方违约责任条款缺失或约定不明确，建议补充完整。
若约定违约金，违约金数额不能过高，超过实际损失30%的违约金会被法院认定为过高，建议根据实际情况合理确定违约金数额。",高,"【《中华人民共和国民法典》第五百七十七条】当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。|【《中华人民共和国民法典》第五百八十三条】当事人一方不履行合同义务或者履行合同义务不符合约定的，在履行义务或者采取补救措施后，对方还有其他损失的，应当赔偿损失。|【《中华人民共和国民法典》第五百八十五条】当事人可以约定一方违约时应当根据违约情况向对方支付一定数额的违约金，也可以约定因违约产生的损失赔偿额的计算方法。
约定的违约金低于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以增加；约定的违约金过分高于造成的损失的，人民法院或者仲裁机构可以根据当事人的请求予以适当减少。
当事人就迟延履行约定违约金的，违约方支付违约金后，还应当履行债务。",违约责任条款未约定或未明确约定，如一方违约，守约方可能无法要求其承担相应的违约责任。,约定的违约金过高，建议核实或修改。,违约责任合理性审核,违约责任条款审核
争议解决,识别,,,,未识别,,离婚协议系具有人身属性的特殊协议，不符合合同或者其他财产权益纠纷可以约定管辖的情形，不适用约定管辖，而应适用一般地域管辖的规定，由被告住所地人民法院管辖，被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。如果夫妻一方离开户籍地超过一年，另一方起诉离婚的案件，是可以由原告户籍地人民法院管辖的。而夫妻双方均离开户籍地超过一年，则又回归到“原告就被告”的一般管辖原则，由被告经常居住地人民法院管辖，没有经常居住地的，由原告起诉时被告居住地人民法院管辖。,中," 【《中华人民共和国民事诉讼法 》第二十二条】对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。|【《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释》第三十四条】当事人因同居或者在解除婚姻、收养关系后发生财产争议，约定管辖的，可以适用民事诉讼法第三十五条规定确定管辖。|【《中华人民共和国民事诉讼法 》第三十五条】合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。|【《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释》第十二条】 夫妻一方离开住所地超过一年，另一方起诉离婚的案件，可以由原告住所地人民法院管辖。
夫妻双方离开住所地超过一年，一方起诉离婚的案件，由被告经常居住地人民法院管辖；没有经常居住地的，由原告起诉时被告居住地人民法院管辖。",离婚协议系具有人身属性的特殊协议，不符合合同或者其他财产权益纠纷可以约定管辖的情形，不适用约定管辖，而应适用一般地域管辖的规定。,,合同争议解决方式审核,合同争议解决方式审核
合同生效,识别,,,,未识别,,"生效条款缺失或约定不明确，建议补充完整。
离婚协议协议自双方签字或盖章，完成离婚登记后生效",中,【《中华人民共和国民法典》第一千零八十条　】完成离婚登记，或者离婚判决书、调解书生效，即解除婚姻关系。|【《中华人民共和国民法典》第一千零七十六条】夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。,离婚协议的成立并不意味着离婚协议的生效。离婚协议中关于财产如何分割、子女由谁抚养等内容的约定都是以夫妻双方解除婚姻关系为前提条件。,,合同生效条款审核,合同生效审核
签订日期,识别,,,,未识别,,离婚协议签订日期缺失，建议补充完整。,低,,签订日期为协议成立日期。,,合同落款日期审核,合同签订审核
签字或盖章,识别,,,,未识别,,签名须与身份证所载姓名一致。,中,,签字行为系对离婚协议内容的确认，应由本人签字、捺印。,,签字盖章条款审核,合同签订审核
空白条款审核,识别,,,,未识别，不作审核,,存在空白合同条款，建议删除或根据自身情况具体约定。,高,,空白的合同条款存在发生争议后补填的风险，可能被认定为无限授权,,空白条款情形审核,不合理情形审核
违违反违反法律、行政法规的强制性规定约定,违法,不得再婚|再婚后不得生育子女|再婚后生育的子女不享有继承权,,,未识别，不作审核,,,高,【《中华人民共和国民法典》第一百五十三条　】违反法律、行政法规的强制性规定的民事法律行为无效。但是，该强制性规定不导致该民事法律行为无效的除外。违背公序良俗的民事法律行为无效。|【《中华人民共和国民法典》第一千零四十六条】结婚应当男女双方完全自愿，禁止任何一方对另一方加以强迫，禁止任何组织或者个人加以干涉。,违反法律、行政法规的强制性规定的民事法律行为无效,该约定违反违反法律、行政法规的强制性规定，建议删除,违违反违反法律、行政法规的强制性规定约定审核,不合理情形审核
附件,识别,,,,未识别，不作审核,,,低,,,,合同附件审核,合同附件审核
